Top,Russian,Audio,English,Spanish,Example Russian 1,Example Russian 2,Example Russian 3,Audio 1,Audio 2,Audio 3,Example English 1,Example English 2,Example English 3,Example Spanish 1,Example Spanish 2,Example Spanish 3,Tag
247,ходи́ть,,to walk,caminar,Он всегда хо́дит вечером.,Вы ходи́те быстро.,Мы вчера хо́дили в парке.,,,,He always walks in the evening.,You walk fast.,We walked in the park yesterday.,Él siempre camina por la tarde.,Ustedes caminan rápido.,Ayer caminamos en el parque.,verb
248,заче́м,,why,¿por qué?,Зачем ты не сказал мне правду?,Зачем она не пришла на встречу?,"Я не понимаю, зачем это нужно.",,,,Why didn't you tell me the truth?,Why didn't she come to the meeting?,I don't understand why this is necessary.,¿Por qué no me dijiste la verdad?,¿Por qué no vino a la reunión?,No entiendo por qué es necesario esto.,adverb
249,сове́тский,,Soviet,soviético,Моя бабушка живет в старом советском доме.,У него есть коллекция советских монет.,Он дал мне советский фильм посмотреть.,,,,My grandmother lives in an old Soviet house.,He has a collection of Soviet coins.,He gave me a Soviet movie to watch.,Mi abuela vive en una antigua casa soviética.,Él tiene una colección de monedas soviéticas.,Me dio una película soviética para verla.,adjective
250,ру́сский,,Russian,ruso,Моя подруга изучает ру́сский язык.,Я прочитал книгу на ру́сском.,У него ру́сские корни.,,,,My friend is studying Russian language.,I read a book in Russian.,He has Russian roots.,Mi amiga está estudiando el idioma ruso.,Leí un libro en ruso.,Él tiene raíces rusas.,noun
251,быва́ть,,to happen,ocurrir,Он иногда бывает очень удачливым.,Вы бываете в городе каждый год.,Вчера такого не бывало!,,,,He is sometimes very lucky.,You visit the city every year.,That didn't happen yesterday!,A veces él es muy afortunado.,Visitáis la ciudad cada año.,¡Eso no ocurrió ayer!,verb
252,по́лный,,full,completo,У меня по́лный день с важными встречами.,Он был по́лным удивлением.,Наш разговор стал по́лным конфузом.,,,,I have a full day with important meetings.,He was a full surprise.,Our conversation turned into a full confusion.,Tengo un día completo con reuniones importantes.,Él fue una sorpresa completa.,Nuestra conversación se convirtió en una completa confusión.,adjective
253,прийти́,,to come,llegar,Ты придёшь рано или позже?,Мы приходим к тебе через час.,Вчера она пришла на вечеринку.,,,,Will you come early or later?,We will come to you in an hour.,"Yesterday, she came to the party.",¿Vendrás temprano o tarde?,Nosotros iremos hacia ti en una hora.,Ayer ella vino a la fiesta.,verb
254,па́лец,,finger,dedo,На моём пальце блестит обручальное кольцо.,Я сломал средний палец на руке.,Она ушибла мизинец своей ноги.,,,,There's an engagement ring on my finger.,I broke the middle finger on my hand.,She bruised her toe.,En mi dedo brilla un anillo de compromiso.,Me rompí el dedo corazón de la mano.,Se golpeó el dedo del pie.,noun
255,Росси́я,,Russia,Rusia,Я живу в прекрасной стране - России.,Мой друг изучает язык в России.,Путин - президент России.,,,,I live in the beautiful country of Russia.,My friend is studying the language in Russia.,Putin is the president of Russia.,Vivo en el hermoso país de Rusia.,Mi amigo está estudiando el idioma en Rusia.,Putin es el presidente de Rusia.,noun
256,любо́й,,any,cualquier,Он готов помочь в любой ситуации.,У неё есть ответ на любой вопрос.,Он примет любое решение.,,,,He is ready to help in any situation.,She has an answer to any question.,He will accept any decision.,Él está listo para ayudar en cualquier situación.,Ella tiene respuesta a cualquier pregunta.,Él aceptará cualquier decisión.,other
257,исто́рия,,history,historia,Моя семья изучает историю древних цивилизаций.,В музее хранится увлекательная история.,Истории каждого человека уникальны.,,,,My family studies ancient history.,An intriguing history is kept in the museum.,Every person's stories are unique.,Mi familia estudia la historia de antiguas civilizaciones.,En el museo se conserva una historia fascinante.,Las historias de cada persona son únicas.,noun
258,наконе́ц,,finally,finalmente,Наконец-то я закончил этот проект.,Они вернулись домой наконец.,После многих усилий он наконец достиг цели.,,,,I finally finished this project.,They finally returned home.,"After many efforts, he finally reached the goal.",¡Por fin terminé este proyecto!,Por fin regresaron a casa.,"¡Después de muchos esfuerzos, finalmente logró su objetivo!",adverb
259,мысль,,thought,pensamiento,У меня возникла интересная мысль.,Это была смелая мысль.,Хорошая мысль может изменить мир.,,,,I had an interesting thought.,It was a brave thought.,A good thought can change the world.,Tuve un pensamiento interesante.,Fue un pensamiento valiente.,Un buen pensamiento puede cambiar el mundo.,noun
260,узна́ть,,to learn,enterarse,Я узнаю новую информацию каждый день.,Вы узнали о ее́ приезде?,Он узнал правду о происшествии.,,,,I learn new information every day.,Did you learn about her arrival?,He learned the truth about the incident.,Aprendo nueva información todos los días.,¿Supieron ustedes sobre su llegada?,Él se enteró de la verdad sobre el incidente.,verb
261,наза́д,,back,atrás,"Оглянувшись назад, он увидел след автомобиля.",Пройдемте назад к перекрестку.,Отойди назад от края обрыва.,,,,"Looking back, he saw the car's tracks.",Let's walk back to the intersection.,Step back from the edge of the cliff.,"Mirando atrás, vio las marcas del auto.",Vamos hacia atrás hasta el cruce.,Retrocede del borde del acantilado.,adverb
262,о́бщий,,common,común,У нас есть общий друг.,Встретились на общем мероприятии.,Она приняла участие в общем проекте.,,,,We have a common friend.,They met at a common event.,She participated in a common project.,Tenemos un amigo en común.,Se reunieron en un evento común.,Ella participó en un proyecto común.,adjective
263,заме́тить,,notice,notar,Я часто замечаю странные звуки в этом доме.,Мы заметили изменения в плане.,Они заметили новую вывеску вчера.,,,,I often notice strange sounds in this house.,We noticed changes in the plan.,They noticed a new sign yesterday.,Suelo notar sonidos extraños en esta casa.,Detectamos cambios en el plan.,Ellos observaron un nuevo letrero ayer.,verb
264,сло́вно,,as if,como si,"Она молчала, сло́вно что-то скрывала.","Он ушел быстро, сло́вно его погнали.",Он работал сло́вно без перерыва.,,,,She was silent as if hiding something.,He left quickly as if chased.,He worked as if without a break.,"Ella estaba en silencio, como si estuviera ocultando algo.",Él se fue rápido como si lo estuvieran persiguiendo.,Trabajaba como si fuera sin descanso.,other
265,про́шлый,,last,pasado,В прошлом году я посетил Париж.,Она купила два прошлых билета.,На следующей неделе обсудим прошлое.,,,,Last year I visited Paris.,She bought two last tickets.,We will discuss the past next week.,El año pasado visité París.,Compró dos billetes pasados.,La próxima semana discutiremos el pasado.,adjective
266,уйти́,,to leave,irse,Я ухожу с работы поздно.,Вы ушли раньше всех.,Она ушла домой.,,,,I leave work late.,You left before everyone.,She left for home.,Me voy del trabajo tarde.,Ustedes se fueron antes que todos.,Ella se fue a casa.,verb
267,изве́стный,,famous,famoso,Это изве́стный акте́р.,Изве́стная певица выступила вчера.,Он изве́стный специалист в своём деле.,,,,He is a famous actor.,The famous singer performed yesterday.,He is a well-known expert in his field.,Él es un actor famoso.,La cantante famosa se presentó ayer.,Él es un experto conocido en su campo.,adjective
268,давно́,,long ago,hace tiempo,Я давно́ не плавал в море.,Он давно́ не посещал техникум.,Мы давно́ не виделись с друзьями.,,,,I haven't swum in the sea long ago.,He hasn't visited the technical school a long time ago.,We haven't seen our friends for a long time.,Hace tiempo que no nado en el mar.,Él no ha visitado la escuela técnica hace mucho tiempo.,Hace mucho tiempo que no vemos a nuestros amigos.,adverb
269,слы́шать,,to hear,escuchar,Я слышу шум вдалеке.,Они слышат смех своих детей.,Он слышал странный звук.,,,,I hear noise in the distance.,They hear the laughter of their children.,He heard a strange sound.,Escucho ruido a lo lejos.,Ellos escuchan la risa de sus hijos.,Él escuchó un sonido extraño.,verb
270,слу́шать,,to listen,escuchar,Я обычно слушаю музыку в метро.,Мы слушаем лекцию по истории.,Он слушал радио весь вечер.,,,,I usually listen to music in the metro.,We are listening to a history lecture.,He listened to the radio all evening.,Normalmente escucho música en el metro.,Estamos escuchando una conferencia de historia.,Él escuchó la radio toda la tarde.,verb
271,боя́ться,,to fear,temer,Я бою́сь высоты.,Мы бои́мся темноты.,"Я боялся собак, когда был маленьким.",,,,I am afraid of heights.,We are afraid of the dark.,I was afraid of dogs when I was little.,Temo a las alturas.,Tememos a la oscuridad.,Temía a los perros cuando era pequeño.,verb
272,сын,,son,hijo,Мой сын учится в университете.,Я люблю своего сына.,Сын должен уважать своих родителей.,,,,My son is studying at the university.,I love my son.,A son should respect his parents.,Mi hijo estudia en la universidad.,Amo a mi hijo.,Un hijo debe respetar a sus padres.,noun
273,нельзя́,,cannot be,no se puede,На улице нельзя́ курить.,В этой комнате нельзя́ шуметь.,На экзамене нельзя́ списывать.,,,,Smoking is not allowed outside.,Making noise in this room is forbidden.,Cheating is not allowed in the exam.,No se puede fumar en la calle.,No se puede hacer ruido en esta habitación.,No está permitido copiar en el examen.,other
274,пря́мо,,straight,directo,"Он шел прямо к цели, не сворачивая.",Мне нужно пройти прямо по этой улице.,Она смотрела ему прямо в глаза.,,,,"He walked straight to the goal, without turning.",I need to walk straight down this street.,She looked him straight in the eyes.,"Él caminaba directo hacia la meta, sin girar.",Necesito caminar directo por esta calle.,Ella lo miraba directo a los ojos.,adverb
275,до́лго,,long,largo,Они ждали до́лго на остановке.,Мне пришлось долго думать.,Долго ли я буду ждать?,,,,They waited long at the bus stop.,I had to think long.,Will I wait long?,Ellos esperaron mucho en la parada del autobús.,Tuve que pensar mucho.,¿Voy a esperar mucho tiempo?,adverb
276,бы́стрый,,quick,rápido,Он сделал быстрое решение.,У неё быстрая машина.,Быстрые птицы летят высоко.,,,,He made a quick decision.,She has a fast car.,Fast birds fly high.,Él tomó una decisión rápida.,Ella tiene un coche rápido.,Los pájaros rápidos vuelan alto.,adjective
277,лес,,forest,bosque,Я люблю гулять по тихому лесу.,В лесу можно встретить разных животных.,Лес спрятал в себе много тайн.,,,,I love to walk in the quiet forest.,"In the forest, you can meet different animals.",The forest has hidden many secrets.,Me encanta pasear por el bosque tranquilo.,En el bosque puedes encontrar diferentes animales.,El bosque ha guardado muchos secretos.,noun
278,похо́жий,,similar,similar,У нас с ним похо́жие взгляды на жизнь.,Этот дом выглядит похо́жим на замок.,Мы заметили похо́жие черты у братьев.,,,,We have similar views on life.,This house looks similar to a castle.,We noticed similar traits in the brothers.,Tenemos puntos de vista similares sobre la vida.,Esta casa parece similar a un castillo.,Notamos rasgos similares en los hermanos.,adjective
279,пора́,,time to go,hora de ir,Пора спать.,Тебе пора вставать.,Мне пора уходить.,,,,Time to sleep.,It's time for you to wake up.,I must go now.,Hora de dormir.,Es hora de que te levantes.,Tengo que irme ahora.,noun
280,пять,,five,cinco,В парке было пять лебедей.,Он выиграл пять тысяч рублей.,Сегодня у меня пять заданий.,,,,There were five swans in the park.,He won five thousand rubles.,I have five tasks today.,Había cinco cisnes en el parque.,Él ganó cinco mil rublos.,Tengo cinco tareas hoy.,numeral
281,гляде́ть,,to watch,mirar,Я обожаю глядеть на звезды ночью.,Вы любите глядеть на природу?,Вчера я глядела на новый фильм.,,,,I love watching the stars at night.,Do you enjoy watching nature?,Yesterday I watched a new movie.,Me encanta mirar las estrellas por la noche.,¿Te gusta mirar la naturaleza?,Ayer miré una nueva película.,verb
282,оно́,,it,ello,"Я слышал, как оно пело.","Мы увидели, как оно бегало.",Оно поломало игрушку.,,,,I heard it sing.,We saw it run.,It broke the toy.,Lo escuché cantar.,Lo vimos correr.,Lo rompió el juguete.,pronoun
283,сесть,,to sit,sentarse,Я сажусь на скамейку.,Они садятся за стол.,Они сели на траву.,,,,I sit down on the bench.,They sit at the table.,They sat on the grass.,Me siento en el banco.,Ellos se sientan a la mesa.,Ellos se sentaron en el pasto.,verb
284,и́мя,,name,nombre,Моё и́мя - Александр.,Её и́мя неизвестно.,Я помню его и́мя.,,,,My name is Alexander.,Her name is unknown.,I remember his name.,Mi nombre es Alexander.,Su nombre es desconocido.,Recuerdo su nombre.,noun
285,ж,,zh,jota,"Звук ""ж"" мягкий и приятный.",Правильное произношение жир.,"Многие слова начинаются на ""ж"".",,,,"The sound ""zh"" is soft and pleasant.","The correct pronunciation of ""zh"".","Many words begin with ""zh"".","El sonido ""zh"" es suave y agradable.","La pronunciación correcta de ""zh"".","Muchas palabras comienzan con ""zh"".",other
286,разгово́р,,conversation,conversación,Они вели непринужденный разговор.,Мы начали серьёзный разговор.,"После разговора, я почувствовал облегчение.",,,,They had a casual conversation.,We started a serious conversation.,"After the conversation, I felt relieved.",Ellos tuvieron una conversación informal.,Empezamos una conversación seria.,"Después de la conversación, me sentí aliviado.",noun
287,те́ло,,body,cuerpo,Я занимаюсь йогой для своего тела.,Она прославилась благодаря своему телу.,Тело - храм души.,,,,I do yoga for my body.,She became famous thanks to her body.,Body is the temple of the soul.,Hago yoga por mi cuerpo.,Ella se hizo famosa gracias a su cuerpo.,El cuerpo es el templo del alma.,noun
288,молодо́й,,young,joven,Мой друг - очень талантливый молодой человек.,Моя сестра - молодая учительница.,Она встретила интересного молодого мужчину.,,,,My friend is a very talented young man.,My sister is a young teacher.,She met an interesting young man.,Mi amigo es un joven muy talentoso.,Mi hermana es una joven maestra.,Ella conoció a un joven interesante.,adjective
289,стена́,,wall,pared,Картину вешали на стену.,На стене висел красивый постер.,За стеной слышно музыку.,,,,They hung the painting on the wall.,A beautiful poster hung on the wall.,You can hear music from behind the wall.,Colgaron el cuadro en la pared.,Un póster hermoso colgaba en la pared.,Se puede oír música detrás de la pared.,noun
290,кра́сный,,red,rojo,У неё были кра́сные туфли.,Этот яблоко кра́сное.,Воздушные шарики были кра́сными.,,,,She had red shoes.,This apple is red.,The balloons were red.,Ella tenía zapatos rojos.,Esta manzana es roja.,Los globos eran rojos.,adjective
291,чита́ть,,read,leer,Я чита́ю книгу каждый день.,Мы чита́ем вместе статьи.,Он чита́л роман вчера.,,,,I read a book every day.,We read articles together.,He read a novel yesterday.,Leo un libro todos los días.,Leemos artículos juntos.,Él leyó una novela ayer.,verb
292,пра́во,,right,derecho,Он защищает своё пра́во на свободу слова.,У нас есть пра́во на приватность.,Женщина всегда должна знать свои пра́ва.,,,,He defends his right to freedom of speech.,We have a right to privacy.,A woman should always know her rights.,Él defiende su derecho a la libertad de expresión.,Tenemos derecho a la privacidad.,Una mujer siempre debe conocer sus derechos.,noun
293,стари́к,,old man,anciano,Старика дед рассказывал интересные истории.,Вчера под окном старика разбудили шум.,Старику было радостно видеть внуков.,,,,Grandpa told interesting stories.,"Yesterday, the old man was woken up by noise.",The old man was happy to see his grandchildren.,El abuelo contaba historias interesantes.,Ayer despertaron al anciano con ruido.,El anciano estaba contento de ver a sus nietos.,noun
294,ра́нний,,early,temprano,Он сделал раннее решение.,Утро началось в ранний час.,Раннему путнику везет с погодой.,,,,He made an early decision.,The morning started early.,An early traveler is lucky with the weather.,Él tomó una decisión temprana.,La mañana empezó temprano.,Un viajero temprano tiene suerte con el clima.,adjective
295,хоте́ться,,to want,querer,Мне хочется шоколада.,Они хотят отдохнуть на пляже.,Вчера нам не захотелось гулять.,,,,I want chocolate.,They want to relax on the beach.,Yesterday we didn't feel like walking.,Quiero chocolate.,Ellos quieren relajarse en la playa.,Ayer no nos apeteció pasear.,verb
296,ма́ма,,mother,madre,Моя ма́ма готовит очень вкусно.,У моей ма́мы красивые глаза.,Мама всегда понимает меня.,,,,My mother cooks very deliciously.,My mom has beautiful eyes.,Mom always understands me.,Mi madre cocina muy rico.,Mi mamá tiene unos ojos bonitos.,Mamá siempre me comprende.,noun
297,остава́ться,,to remain,quedarse,Она остаётся дома в выходной день.,Мы оставались в городе на выходные.,Он остался на работе после работы.,,,,She stays at home on the day off.,We remained in the city for the weekend.,He stayed at work after work.,Ella se queda en casa en su día libre.,Nosotros nos quedamos en la ciudad durante el fin de semana.,Él se quedó en el trabajo después del trabajo.,verb
298,высо́кий,,tall,alto,Этот дом имеет высокий потолок.,Она приобрела пару высоких каблуков.,Ребенок заглядывал в высокое окно.,,,,This house has a high ceiling.,She bought a pair of tall heels.,The child peeked into the tall window.,Esta casa tiene un techo alto.,Ella compró un par de tacones altos.,El niño miraba por la ventana alta.,adjective
299,путь,,way,camino,У меня был долгий путь домой.,Это самый короткий путь.,Он выбрал свой собственный путь.,,,,I had a long way home.,This is the shortest way.,He chose his own way.,Tuve un largo camino a casa.,Este es el camino más corto.,Él eligió su propio camino.,noun
300,поэ́тому,,therefore,por lo tanto,"Я учусь каждый день, поэ́тому у меня хорошие оценки.","Он опаздывает на работу, по этому он всегда торопится.","Мы заботимся о окружающей среде, поэ́тому раздельный сбор мусора для нас важен.",,,,"I study every day, therefore I have good grades.","He is late for work, that's why he's always in a hurry.","We care about the environment, so recycling is important to us.","Estudio todos los días, por lo tanto tengo buenas calificaciones.","Él llega tarde al trabajo, por eso siempre se apura.","Nos preocupamos por el medio ambiente, por lo tanto el reciclaje es importante para nosotros.",adverb
301,соверше́нно,,completely,completamente,Он совершенно согласился с моим предложением.,Это совершенно невозможно.,Ты совершенно прав.,,,,He completely agreed with my proposal.,It's completely impossible.,You are completely right.,Él estuvo completamente de acuerdo con mi propuesta.,Es completamente imposible.,Tienes toda la razón.,adverb
302,кро́ме,,except/besides,excepto/aparte de,"Я люблю все фрукты, кроме апельсинов.","Все пришли на вечеринку, кроме Маши.","Все готовы к выступлению, кроме Кати.",,,,I like all fruits except oranges.,Everyone came to the party except Maria.,Everyone is ready for the performance except Kate.,"Me gustan todas las frutas, excepto las naranjas.",Todos vinieron a la fiesta excepto María.,Todos están listos para la actuación excepto Kate.,other
303,ты́сяча,,thousand,mil,У меня есть ты́сяча идей для проекта.,Он заплатил две ты́сячи долларов.,Здесь проходит ты́сяча туристов в день.,,,,I have a thousand ideas for the project.,He paid two thousand dollars.,A thousand tourists pass through here every day.,Tengo mil ideas para el proyecto.,Pagó dos mil dólares.,Pasan mil turistas por aquí cada día.,numeral
304,ме́сяц,,month,mes,Этот месяц прошел очень быстро.,Он живет в мае месяцем.,Последний день месяца - всегда особенный.,,,,This month went by very quickly.,He is living May away.,The last day of the month is always special.,Este mes pasó muy rápido.,Él está viviendo mayo al máximo.,El último día del mes siempre es especial.,noun
305,брать,,to take,tomar,Я беру фотоаппарат для путешествия.,Мы берем книги из библиотеки.,Он вчера взял мой зонт.,,,,I take a camera for traveling.,We take books from the library.,He took my umbrella yesterday.,Tomo una cámara para viajar.,Tomamos libros de la biblioteca.,Ayer tomó mi paraguas.,verb
306,написа́ть,,to write,escribir,Она обычно пишет письма по вечерам.,Мы напишем отчет к завтрашнему дню.,Он написал статью о живописи.,,,,She usually writes letters in the evenings.,We will write the report by tomorrow.,He wrote an article about painting.,Ella suele escribir cartas por las noches.,Escribiremos el informe para mañana.,Él escribió un artículo sobre pintura.,verb
307,це́лый,,whole,entero,У меня ушло целое утро на работу.,У нее целого месяца не было отпуска.,Человек владеет целым миром.,,,,It took me the whole morning to work.,She hasn't had a vacation for a whole month.,A person possesses the whole world.,Me llevó toda la mañana trabajar.,Ella no ha tenido vacaciones por un mes entero.,Una persona posee el mundo entero.,adjective
308,огро́мный,,enormous,enorme,Это огро́мное здание просто поразительно.,Я купил огро́мный букет цветов.,У меня огро́мное желание путешествовать.,,,,This enormous building is simply stunning.,I bought an enormous bouquet of flowers.,I have an enormous desire to travel.,Este edificio enorme es simplemente impresionante.,Compré un enorme ramo de flores.,Tengo un enorme deseo de viajar.,adjective
309,начина́ть,,to start,comenzar,Ты начина́ешь новую книгу каждую неделю.,Мы начина́ем проект с нуля.,Он начал учиться на новом курсе.,,,,You start a new book every week.,We start a project from scratch.,He started studying a new course.,Comienzas un libro nuevo cada semana.,Empezamos un proyecto desde cero.,Él comenzó a estudiar un nuevo curso.,verb
310,спина́,,back,espalda,У нее́ болит спина́ от работы на садовом участке.,Он сильно ударился спина́ю.,Хорошо помассировать спина́ после работы.,,,,She has a backache from working in the garden.,He hit his back hard.,It's good to massage your back after work.,Le duele la espalda por trabajar en el jardín.,Se golpeó fuerte en la espalda.,Es bueno masajear tu espalda después del trabajo.,noun
311,настоя́щий,,real,real,Это настоя́щий профессионал своего дела.,Компания нуждается в настоя́щем лидере.,Он проявил настоя́щее мужество в трудную минуту.,,,,He is a real professional in his field.,The company needs a real leader.,He showed real courage in a difficult moment.,Él es un profesional real en su campo.,La empresa necesita un líder real.,Mostró verdadero coraje en un momento difícil.,adjective
312,пусть,,let,que,Пусть он придет вовремя на встречу.,Пусть поговорит с ней откровенно.,Пусть дети играют с удовольствием.,,,,Let him come on time to the meeting.,Let him talk to her candidly.,Let the children play happily.,Que llegue puntual a la cita.,Que hable sinceramente con ella.,Que los niños jueguen felices.,other
313,язы́к,,tongue,lengua,У нее красивый улыбающийся язык.,Язык бабушки был покрыт белым налетом.,Этот язык знает сотни слов.,,,,She has a beautiful smiling tongue.,Grandma's tongue was covered in white.,This tongue knows hundreds of words.,Ella tiene una lengua bonita y sonriente.,La lengua de la abuela estaba cubierta de blanco.,Esta lengua conoce cientos de palabras.,noun
314,то́чно,,exactly,exactamente,Я это знаю точно.,Это сделано точнее.,Он работает точно.,,,,I know it exactly.,It's done more precisely.,He works accurately.,Lo sé exactamente.,Está hecho con más precisión.,Él trabaja con precisión.,adverb
315,среди́,,among,entre,"Он обратил внимание на необычное событие, которое произошло среди толпы.",Среди всех фруктов я выберу яблоко.,Она была в числе лучших студентов среди всех.,,,,He noticed an unusual event that happened among the crowd.,"Among all the fruits, I will choose an apple.",She was among the best students of all.,Él notó un evento inusual que ocurrió entre la multitud.,"Entre todas las frutas, elegiré una manzana.",Ella estaba entre los mejores estudiantes de todos.,other
316,чу́вствовать,,to feel,sentir,Ты чувствуешь радость в этот момент.,Они чувствуют волнение перед выступлением.,Вчера я чувствовал усталость.,,,,You feel joy in this moment.,They feel nervous before the performance.,"Yesterday, I felt tired.",Sientes alegría en este momento.,Ellos sienten nervios antes de la presentación.,Ayer me sentí cansado.,verb
317,се́рдце,,heart,corazón,У него защитное се́рдце.,Её се́рдце стучит быстро.,Это слишком больно для моего се́рдца.,,,,He has a protective heart.,Her heart beats fast.,It's too painful for my heart.,Él tiene un corazón protector.,Su corazón late rápido.,Es demasiado doloroso para mi corazón.,noun
318,вести́,,to lead/to conduct,llevar/guiar,Я веду проектную группу.,Вы ведете мастер-класс по лидерству.,Он вел переговоры с партнерами.,,,,I lead a project team.,You lead a leadership masterclass.,He led negotiations with partners.,Yo lidero un equipo de proyecto.,Ustedes guían un máster de liderazgo.,Él guió negociaciones con socios.,verb
319,иногда́,,sometimes,a veces,Иногда́ я люблю слушать классическую музыку.,Он иногда́ играет на гитаре.,Мы иногда́ встречаемся на выходных.,,,,Sometimes I like to listen to classical music.,He plays the guitar sometimes.,We sometimes meet on weekends.,A veces me gusta escuchar música clásica.,A veces toca la guitarra.,A veces nos vemos los fines de semana.,adverb
320,ма́льчик,,boy,niño,Маленький ма́льчик играл на площадке.,Новый ма́льчик пришел в класс.,Ма́льчик смеялся над шуткой.,,,,The little boy was playing in the playground.,A new boy came to the class.,The boy laughed at the joke.,El niño pequeño estaba jugando en el patio de recreo.,Llegó un niño nuevo a la clase.,El niño se rió del chiste.,noun
321,успе́ть,,to manage,lograr,Я успева́ю закончи́ть рабо́ту.,Мы успе́ем пригото́виться к встрече́.,Он успе́л пойма́ть по́лезного пти́цу.,,,,I manage to finish the work.,We will manage to get ready for the meeting.,He managed to catch a useful bird.,Logro terminar el trabajo.,Lograremos prepararnos para la reunión.,Él logró atrapar un ave útil.,verb
322,не́бо,,sky,cielo,На небе видно яркие звёзды.,В небо взмывают птицы.,Небо освещалось лунным светом.,,,,Bright stars are visible in the sky.,Birds soar into the sky.,The sky was illuminated by moonlight.,Se ven estrellas brillantes en el cielo.,Los pájaros vuelan hacia el cielo.,El cielo estaba iluminado por la luz de la luna.,noun
323,живо́й,,alive,vivo,Крошка енот оказался живым.,Живая природа красива.,Этот город живой и шумный.,,,,The baby raccoon was alive.,Nature is beautiful alive.,This city is lively and noisy.,El mapache bebé estaba vivo.,La naturaleza es hermosa viva.,Esta ciudad está viva y ruidosa.,adjective
324,смерть,,death,muerte,Он не боится смерти.,Смерть пришла внезапно.,Она приняла свою смерть мужественно.,,,,He is not afraid of death.,Death came suddenly.,She faced her death bravely.,Él no le teme a la muerte.,La muerte llegó de repente.,Ella enfrentó su muerte con valentía.,noun
325,продолжа́ть,,to continue,continuar,Ты продолжаешь учиться каждый день.,Мы продолжаем работу над проектом.,Он продолжал говорить всю ночь.,,,,You continue to study every day.,We continue working on the project.,He kept talking all night long.,Tú continúas estudiando todos los días.,Nosotros seguimos trabajando en el proyecto.,Él seguía hablando toda la noche.,verb
326,де́вушка,,girl,chica,Де́вушку зовут Аня.,Она - молодая де́вушка.,Я видел красивую де́вушку в парке.,,,,Her name is Anya.,She is a young girl.,I saw a beautiful girl in the park.,Se llama Anya.,Es una chica joven.,Vi a una chica hermosa en el parque.,noun
327,о́браз,,image,imagen,Картина висела на стене как о́браз природы.,Этот художник создал потрясающий о́браз.,О́браз этого человека запомнился мне.,,,,The painting hung on the wall as an image of nature.,This artist created a stunning image.,The image of this person stuck in my mind.,El cuadro colgaba en la pared como imagen de la naturaleza.,Este artista creó una imagen impresionante.,La imagen de esta persona se quedó en mi mente.,noun
328,ко,,to,a,Я поехал ко врачу.,Она привезла кофе в офис.,Он подошел ко мне.,,,,I went to the doctor.,She brought coffee to the office.,He came up to me.,Fui al médico.,Ella trajo café a la oficina.,Se acercó a mí.,other
329,забы́ть,,forget,olvidar,Он постоянно забывает ключи.,Мы чуть не забыли о его дне рождения.,Она забыла позвонить маме.,,,,He constantly forgets the keys.,We almost forgot about his birthday.,She forgot to call her mom.,Él siempre olvida las llaves.,Casi olvidamos su cumpleaños.,Olvidó llamar a su mamá.,verb
330,вокру́г,,around,alrededor,Птицы летали вокруг старого дуба.,Она обошла город вокруг и вдоль.,Воздух вокруг нас наполнился запахом цветов.,,,,Birds were flying around the old oak tree.,She walked around and along the city.,The air around us was filled with the scent of flowers.,Los pájaros volaban alrededor del viejo roble.,Ella caminó alrededor y a lo largo de la ciudad.,El aire alrededor de nosotros estaba lleno del aroma de las flores.,other
331,письмо́,,letter,carta,Я получил важное письмо́ от друга.,Я отправил письмо́ курьером.,Мне нужно написать письмо́ руководству.,,,,I received an important letter from a friend.,I sent the letter with a courier.,I need to write a letter to the management.,Recibí una carta importante de un amigo.,Envié la carta con un mensajero.,Necesito escribir una carta a la gerencia.,noun
332,власть,,power,poder,Они осуществляют власть над населением.,Власть управляет государством.,Она исполнена власти и гордости.,,,,They exercise power over the population.,Power governs the state.,She is filled with power and pride.,Ellos ejercen poder sobre la población.,El poder dirige al estado.,Ella está llena de poder y orgullo.,noun
333,чёрный,,black,negro,У меня новый чёрный пиджак.,Я люблю чёрные джинсы.,В природе много чёрных животных.,,,,I have a new black jacket.,I like black jeans.,There are many black animals in nature.,Tengo una nueva chaqueta negra.,Me gustan los vaqueros negros.,En la naturaleza hay muchos animales negros.,adjective
334,пройти́,,to pass,pasar,Я пройду этот тест без труда.,Вы прошли через все испытания.,Они уже прошли долгий путь.,,,,I will pass this test easily.,You passed through all the trials.,They have already passed a long way.,Pasaré esta prueba fácilmente.,Ustedes pasaron por todas las pruebas.,Ellos ya han recorrido un largo camino.,verb
335,появи́ться,,to appear/to show up,aparecer,"Я постоянно жду, когда он появится.","Когда мы вошли, он уже появился.",Вчера неожиданно появилась туча.,,,,I'm constantly waiting for him to appear.,"When we entered, he had already shown up.",Yesterday a cloud suddenly appeared.,Siempre estoy esperando a que aparezca.,"Cuando entramos, él ya había aparecido.",Ayer apareció una nube de repente.,verb
336,во́здух,,air,aire,Свежий во́здух после дождя освежает легкие.,В парке царит чистый во́здух.,В горах во́здух бывает прозрачным.,,,,Fresh air after the rain refreshes the lungs.,The park is filled with clean air.,The air in the mountains can be clear.,El aire fresco después de la lluvia refresca los pulmones.,El parque está lleno de aire puro.,El aire en las montañas puede ser claro.,noun
